% log of messages transmitted to brudge (outgoing) (<-)
% received from bridge (incoming) (->)
% 1 Linux timestamp (seconds since 1 jan 1970)
% 2 mission time (sec)
% 3 direction flag ->: or <-:
% 4 string send or received
1553268605.156  5.308<-: wve 0 -0.0452718
1553268605.176  5.327<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.203  5.354<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.221  5.373<-: acw 0.417158 -0.234951 -9.85356
1553268605.249  5.401<-: gyw 0.518799 -0.0305176 0.0610352
1553268605.270  5.422<-: hbt 198.524 11.5516 1 0 1 272
1553268605.277  5.429<-: mca 0.0113177 -0.0462766
1553268605.305  5.457<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0317841
1553268605.330  5.482<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.356  5.508<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.374  5.526<-: acw 0.374004 -0.153437 -9.80322
1553268605.402  5.553<-: gyw -0.0915527 -0.12207 0.244141
1553268605.407  5.558<-: wve 0 0.0329721
1553268605.426  5.577<-: hbt 198.681 11.5457 1 0 1 272
1553268605.465  5.617<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0317507
1553268605.493  5.645<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.523  5.674<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.529  5.681<-: mca 0.0134508 0.112377
1553268605.538  5.689<-: acw 0.371606 -0.17022 -9.8224
1553268605.563  5.715<-: gyw 0.152588 -0.0610352 0.366211
1553268605.589  5.741<-: hbt 198.844 11.5556 1 0 1 278
1553268605.627  5.779<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0318175
1553268605.652  5.804<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.660  5.812<-: mis 0 0 0 'User_mission' 0 1
1553268605.665  5.817<-: wve 0 -0.0496652
1553268605.680  5.832<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.693  5.845<-: acw 0.299683 -0.143848 -9.86795
1553268605.710  5.862<-: rid 86 0.21 9.68 48 0.045 0.045 0 1 9.89407 6 Thit
1553268605.722  5.873<-: gyw 0.305176 0.0610352 0.274658
1553268605.753  5.905<-: hbt 199.002 11.5556 1 0 1 273
1553268605.784  5.936<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318812
1553268605.791  5.943<-: mca 0.0111276 0.0130416
1553268605.805  5.957<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.834  5.986<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268605.854  6.005<-: acw 0.362017 -0.191797 -9.84158
1553268605.879  6.031<-: gyw 0.152588 0.0915527 0.305176
1553268605.901  6.053<-: hbt 199.16 11.5477 1 0 1 272
1553268605.907  6.059<-: wve 0 -0.0451209
1553268605.937  6.089<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0319427
1553268605.965  6.116<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268605.994  6.146<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268606.006  6.158<-: acw 0.294888 -0.184604 -9.89672
1553268606.035  6.187<-: gyw 0.335693 -0.0915527 -0.0915527
1553268606.042  6.194<-: mca 0.018781 0.00562585
1553268606.057  6.209<-: hbt 199.317 11.5418 1 0 1 275
1553268606.095  6.246<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0318555
1553268606.122  6.274<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268606.145  6.297<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268606.163  6.314<-: acw 0.304478 -0.117476 -9.74808
1553268606.167  6.319<-: wve 0 0.0271683
1553268606.188  6.340<-: gyw 0.0610352 0.0915527 0
1553268606.214  6.366<-: hbt 199.474 11.5556 1 0 1 272
1553268606.250  6.402<-: pse -2.27404 -0.364718 -1.91629 7.43573 -0.0319424
1553268606.275  6.426<-: irc 10.000 10.000 0 0 72000 24096 72296 24096 0 1
1553268606.302  6.453<-: lip 0 1 0.0000 20 0.0000 20 0 44 44 0 0 0 0 4.5 1 0
1553268606.308  6.460<-: mca 0.0108821 0.0596667
1553268606.320  6.471<-: acw 0.268516 -0.203784 -9.88713
1553268606.347  6.498<-: gyw 0.0610352 0.366211 0.213623
1553268606.367  6.518<-: joy 1 0 8 11 0 259 -32767 0 -2 -32767 0 0 1 0 0 0 0 0 0 0 0 0 0
1553268606.375  6.527<-: hbt 199.631 11.5418 1 0 1 270
1553268606.378  6.530<-: event 33
1553268606.418  6.570->: <mod 101 1 vel=0.4, acc=2.0, edgel=0.0, white=1: dist=0.4,ir2<0.2
1553268606.434  6.586->: <mod 101 2 vel=0.0, acc=100.0, edgel=0.0, white=1:time=0.1
1553268606.439  6.590->: <mod 101 3 vel=0.0,acc=100.0, edgel=0.0, white=1:ir2<0.21
1553268606.443  6.595->: <mod 101 4 vel=0.0,acc=5.0, edgel=0.0, white=1:ir2>0.4
1553268606.449  6.601<-: pse -2.27394 -0.364432 -1.91919 7.43542 -0.0320408
1553268606.450  6.602->: <mod 101 5 vel=0.0,acc=5, edgel=0.0, white=1:time=0.1
1553268606.455  6.606->: <mod 101 6 vel=0.5,acc=5, edgel=0.0, white=1:xl>16,ir2<0.25
